Neighbourh,population_2023,median_age,median_family_income,unemploy_rate,postsecondary_grad,total_commute,commute_ttc
Beechborough-Greenbrook,7057,39.6,82000,17.6,2125,2100,760
University,7564,36,126000,15.3,4410,1460,395
Playter Estates-Danforth,7764,42.8,152000,14,4690,1565,390
Woodbine-Lumsden,8141,41.6,125000,12,4265,2090,610
Blake-Jones,8229,40.4,119000,13.4,3820,1780,580
Lambton Baby Point,8294,40.8,142000,13.2,4215,1750,395
Old East York,9540,44,129000,12.2,4800,2370,505
Elms-Old Rexdale,9884,38.4,95000,18.5,3355,2965,615
Danforth,10173,41.6,149000,12,4980,2035,750
Kingsway South,10257,48,236000,8.3,5825,1890,275
Guildwood,10332,48.8,126000,13.5,5365,2465,495
Rustic,10404,40.4,77000,18.6,3035,2830,825
Thistletown-Beaumond Heights,10530,39.2,100000,16.6,4125,3365,660
Maple Leaf,10575,43.6,99000,14.8,4065,3415,865
Caledonia-Fairbank,10581,40.4,102000,12.9,3890,3725,1140
Bridle Path-Sunnybrook-York Mills,10707,49.2,254000,8.2,5850,1885,150
Rexdale-Kipling,10722,42,99000,13.9,4210,3680,830
Markland Wood,10741,50.8,132000,12.2,5830,2615,320
Runnymede-Bloor West Village,10772,41.6,170000,9.8,5855,2315,535
Bendale,10881,39.2,97000,15.4,4790,3525,930
Humber Heights-Westmount,11398,47.2,105000,12.9,4945,3065,520
Long Branch,11601,39.6,112000,11.5,6305,3705,795
Cabbagetown-South St.James Town,11968,45.2,124000,12.9,7405,2955,785
Keelesdale-Eglinton West,11969,41.2,95000,14.9,3840,4025,1120
Casa Loma,11972,46,164000,11,7925,2615,640
Pelmo Park-Humberlea,12121,40.8,112000,13.8,4860,3860,595
Forest Hill South,12160,46,188000,8.9,7280,2635,560
North Riverdale,12168,43.2,160000,9.1,6935,2600,615
Broadview North,12200,42.4,95000,14.7,5825,3255,1260
New Toronto,12205,40.4,104000,13.2,5600,3510,870
Weston-Pellam Park,12330,39.2,112000,15.2,4070,3260,960
Princess-Rosethorn,12552,46,186000,11.4,6635,2940,290
Dufferin Grove,12709,38,108000,14.4,6315,3090,860
Etobicoke West Mall,12713,39.6,98000,14.2,5885,4030,780
Forest Hill North,13172,42.4,124000,11.6,7385,3810,1160
Woodbine Corridor,13282,40.8,144000,10.8,6665,2870,805
Humber Summit,13425,40.8,91000,17.4,4400,3955,755
Parkwoods-Donalda,34805,44.2,85000,9.2,13848,6500,2000
Alderwood,13503,43.2,130000,11.9,6110,4185,525
Bayview Woods-Steeles,13641,50,109000,13.4,7315,2970,620
Yonge-Eglinton,13743,38.8,155000,11.5,8375,2945,925
Dovercourt-Wallace Emerson-Juncti,13837,39.2,111000,13.8,6665,3495,965
Highland Creek,13871,44.8,129000,15,6490,4085,640
Yonge-St.Clair,13953,44.8,157000,8.5,9375,3160,880
Ionview,14121,39.2,87000,16.4,5720,4420,1685
Regent Park,14166,35.2,84000,17.3,6595,3185,1125
Mount Dennis,14256,39.2,87000,18.7,5075,4635,1435
Centennial Scarborough,14609,44.4,149000,11.6,7285,3495,520
Wychwood,14609,41.2,124000,12.5,7065,3150,945
Palmerston-Little Italy,14699,36.8,133000,11.2,8230,3395,820
Yonge-Bay Corridor,14731,31,100000,13.3,9580,3240,685
Corso Italia-Davenport,14784,40,119000,11.3,6320,4155,1185
North Toronto,15077,35.2,96000,13,11645,4540,1950
West Queen West,15136,36,136000,7.5,9560,3490,840
Briar Hill-Belgravia,15146,41.2,102000,13.9,7335,5100,1830
Junction Area,15252,39.6,123000,12.8,8105,4040,1050
Oakridge,15389,37.2,76500,21.1,5640,3675,1500
Greenwood-Coxwell,15400,38.8,130000,12,7205,3220,835
Lawrence Park North,15581,42,228000,10.9,9005,3020,675
Humewood-Cedarvale,15620,39.2,132000,10.8,8475,3825,1345
Roncesvalles,15939,39.2,133000,11.3,8390,3755,930
Avondale,16149,35.2,104000,11.4,9965,3550,1030
Taylor-Massey,16157,37.2,82000,18.8,7540,4340,1975
Humbermede,16568,37.6,85000,16.2,5980,5960,1400
Pleasant View,16732,45.2,100000,16.9,8115,4105,910
Lawrence Park South,16778,42.8,244000,9.8,9480,3035,695
Downsview-Roding-CFB,17003,40,99000,14.5,8195,6680,1905
Bathurst Manor,17255,42.4,113000,12.6,8620,5130,1340
Yorkdale-Glen Park,17258,39.6,101000,16,7605,5290,1540
Edenbridge-Humber Valley,17271,46.8,131000,12.1,8405,4420,740
Newtonbrook East,17338,42.4,100000,13.1,9510,4200,1180
Little Portugal,17399,35.2,117000,12.7,9240,4360,1250
Scarborough Village,17713,38,85000,17.8,7050,4820,1575
Trinity-Bellwoods,17814,38,116000,12.7,8305,4005,925
Lansing-Westgate,17872,39.6,123000,11.5,10090,4145,1135
Danforth-East York,17883,42,133000,11.1,8960,4220,1175
Cliffcrest,17922,43.2,114000,15.3,7830,4650,1090
Downtown Yonge East,18023,32.8,112000,13.6,13345,4310,1150
Hillcrest Village,18076,49.6,105000,13.6,9785,3645,745
Mount Pleasant East,18084,42,170000,10.6,10310,3570,805
Kennedy Park,18173,41.6,90000,18.4,7365,5225,1920
Leaside-Bennington,18185,44.4,218000,11.2,10125,3655,455
Mimico,18313,40.8,125000,11.6,9590,5125,1125
Morningside,18463,38.8,96000,15.7,8260,5795,1495
Victoria Village,18592,42.4,90000,16.8,8110,4970,1375
Brookhaven-Amesbury,18738,38.4,88000,17.2,6015,5895,1670
Bay Street Corridor,19055,29.8,100000,15,12390,3580,845
Clanton Park,19089,38.8,115000,12.1,9780,5945,1785
Willowdale West,19546,40,104000,12,11360,4320,1135
Eringate-Centennial-West Deane,19558,46.4,127000,12.8,9780,5545,755
Weston,19809,38.8,86000,17.4,7220,5970,1760
O'Connor-Parkview,19901,43.2,110000,16.3,7290,3865,720
St.Andrew-Windfields,20205,45.2,141000,10.8,10405,4200,695
North St.James Town,20492,36.4,79500,17.5,10675,5765,2660
Bendale-Glen Andrew,20773,38,92000,15,9230,5355,1390
Humber Bay Shores,20822,38,111000,12.4,15890,7015,1255
Kensington-Chinatown,21229,34.8,90000,17.7,10475,4320,1035
Oakdale-Beverley Heights,21503,39.6,87000,16.9,7130,7815,2270
Fort York-Liberty Village,21860,32.4,128000,8.6,16015,5550,1315
South Eglinton-Davisville,21987,36,109000,10.6,16745,6055,2655
Moss Park,22207,35.6,105000,14.6,14350,5520,1505
Rouge,22396,44,124000,14.5,11025,6140,1200
Oakwood Village,22404,40.8,105000,12.6,9890,6445,2485
Thorncliffe Park,22508,34,74500,17.9,8205,4960,1465
Kingsview Village-The Westway,22759,38.8,91000,18.1,8895,6700,1410
Henry Farm,22782,32.8,93000,13.7,12730,5895,2110
Church-Yonge Corridor,22938,33.6,96000,15.6,16740,5640,1850
